u,mode_n1,mode_n2,mode_n3,mode_n4,mode_n5,mode_n6
0.102026,-1.41753112e-02,-1.41937312e-02,-1.23500692e-02,-8.48071250e-03,-3.20529734e-03,-3.61382768e-03
0.103026,-1.41445439e-02,-1.41253520e-02,-1.22052892e-02,-8.23235805e-03,-2.84932643e-03,-4.05496882e-03
0.104026,-1.41128986e-02,-1.40550746e-02,-1.20577874e-02,-7.98050324e-03,-2.49061687e-03,-4.49745487e-03
0.105026,-1.40803780e-02,-1.39830023e-02,-1.19075656e-02,-7.72541902e-03,-2.12914640e-03,-4.94050974e-03
0.106027,-1.40469802e-02,-1.39092266e-02,-1.17546097e-02,-7.46735506e-03,-1.76487392e-03,-5.38335711e-03
0.107027,-1.40127322e-02,-1.38337850e-02,-1.15989904e-02,-7.20641935e-03,-1.39800448e-03,-5.82571109e-03
0.108027,-1.39776893e-02,-1.37566659e-02,-1.14408606e-02,-6.94258906e-03,-1.02897937e-03,-6.26775736e-03
0.109027,-1.39419040e-02,-1.36778638e-02,-1.12803660e-02,-6.67585562e-03,-6.58221136e-04,-6.70964650e-03
0.110028,-1.39053951e-02,-1.35974189e-02,-1.11175520e-02,-6.40634010e-03,-2.85892431e-04,-7.15102031e-03
0.111028,-1.38681619e-02,-1.35154346e-02,-1.09524080e-02,-6.13431726e-03,8.80529251e-05,-7.59106979e-03
0.112028,-1.38302091e-02,-1.34320055e-02,-1.07849395e-02,-5.86003827e-03,4.63621512e-04,-8.02906622e-03
0.113028,-1.37915697e-02,-1.33471662e-02,-1.06152339e-02,-5.58360111e-03,8.40570308e-04,-8.46478762e-03
0.114029,-1.37523014e-02,-1.32609065e-02,-1.04434516e-02,-5.30498456e-03,1.21844461e-03,-8.89844157e-03
0.115029,-1.37124568e-02,-1.31732258e-02,-1.02697384e-02,-5.02419134e-03,1.59682993e-03,-9.33016393e-03
0.116029,-1.36720567e-02,-1.30841727e-02,-1.00941462e-02,-4.74135991e-03,1.97556356e-03,-9.75958423e-03
0.117029,-1.36310978e-02,-1.29938449e-02,-9.91665687e-03,-4.45675613e-03,2.35469707e-03,-1.01859000e-02
0.118030,-1.35895854e-02,-1.29023399e-02,-9.73727917e-03,-4.17063554e-03,2.73424517e-03,-1.06084043e-02
0.119030,-1.35475506e-02,-1.28096947e-02,-9.55609624e-03,-3.88310263e-03,3.11398187e-03,-1.10268679e-02
0.120030,-1.35050492e-02,-1.27159002e-02,-9.37326462e-03,-3.59413958e-03,3.49346839e-03,-1.14414993e-02
0.121030,-1.34621341e-02,-1.26209514e-02,-9.18893306e-03,-3.30373851e-03,3.87228560e-03,-1.18524828e-02
0.122031,-1.34188298e-02,-1.25248910e-02,-9.00316699e-03,-3.01202039e-03,4.25024624e-03,-1.22595420e-02
0.123031,-1.33751316e-02,-1.24278053e-02,-8.81594540e-03,-2.71923054e-03,4.62738916e-03,-1.26619186e-02
0.124031,-1.33310394e-02,-1.23297950e-02,-8.62726497e-03,-2.42563072e-03,5.00377587e-03,-1.30589055e-02
0.125031,-1.32865751e-02,-1.22309044e-02,-8.43718510e-03,-2.13134792e-03,5.37924957e-03,-1.34501980e-02
0.126032,-1.32417876e-02,-1.21311268e-02,-8.24584498e-03,-1.83637389e-03,5.75342196e-03,-1.38359707e-02
0.127032,-1.31967294e-02,-1.20304460e-02,-8.05339613e-03,-1.54067501e-03,6.12586581e-03,-1.42164966e-02
0.128032,-1.31514302e-02,-1.19288850e-02,-7.85992340e-03,-1.24432162e-03,6.49634351e-03,-1.45916884e-02
0.129032,-1.31058876e-02,-1.18265123e-02,-7.66541586e-03,-9.47519740e-04,6.86485236e-03,-1.49609162e-02
0.130033,-1.30600923e-02,-1.17234258e-02,-7.46984827e-03,-6.50528063e-04,7.23151121e-03,-1.53234734e-02
0.131033,-1.30140511e-02,-1.16196826e-02,-7.27324022e-03,-3.53510406e-04,7.59627847e-03,-1.56789270e-02
0.132033,-1.29677988e-02,-1.15152843e-02,-7.07569461e-03,-5.64859826e-05,7.95886695e-03,-1.60273456e-02
0.133033,-1.29213841e-02,-1.14102036e-02,-6.87735651e-03,2.40601951e-04,8.31886449e-03,-1.63690712e-02
0.134034,-1.28748428e-02,-1.13044338e-02,-6.67833365e-03,5.37756188e-04,8.67596263e-03,-1.67042630e-02
0.135034,-1.28281800e-02,-1.11980148e-02,-6.47864357e-03,8.34843888e-04,9.03008137e-03,-1.70325627e-02
0.136034,-1.27813799e-02,-1.10910290e-02,-6.27824635e-03,1.13163448e-03,9.38135113e-03,-1.73533198e-02
0.137034,-1.27344311e-02,-1.09835470e-02,-6.07711492e-03,1.42792671e-03,9.72986800e-03,-1.76659750e-02
0.138035,-1.26873466e-02,-1.08755884e-02,-5.87529361e-03,1.72364658e-03,1.00755068e-02,-1.79703892e-02
0.139035,-1.26401629e-02,-1.07671261e-02,-5.67289746e-03,2.01884369e-03,1.04179357e-02,-1.82668604e-02
0.140035,-1.25929190e-02,-1.06581248e-02,-5.47004973e-03,2.31358925e-03,1.07567950e-02,-1.85557695e-02
0.141035,-1.25456318e-02,-1.05485823e-02,-5.26680990e-03,2.60785821e-03,1.10918864e-02,-1.88371409e-02
0.142036,-1.24982894e-02,-1.04385474e-02,-5.06315381e-03,2.90149443e-03,1.14232621e-02,-1.91105469e-02
0.143036,-1.24508668e-02,-1.03280921e-02,-4.85902160e-03,3.19429088e-03,1.17511133e-02,-1.93754093e-02
0.144036,-1.24033504e-02,-1.02172604e-02,-4.65438664e-03,3.48610285e-03,1.20755096e-02,-1.96313259e-02
0.145036,-1.23557529e-02,-1.01060450e-02,-4.44929967e-03,3.77691985e-03,1.23962971e-02,-1.98783625e-02
