u,mode_n1,mode_n3,mode_n4,mode_n6,mode_n7,mode_n11
0.810203,2.24086719e-03,2.29322539e-02,-9.07310438e-03,1.74872970e-02,8.46997921e-03,-5.67243026e-03
0.811203,2.23519673e-03,2.29146268e-02,-9.11758853e-03,1.75565067e-02,8.69214057e-03,-5.68866350e-03
0.812203,2.22922740e-03,2.28969556e-02,-9.16346171e-03,1.76233722e-02,8.91392453e-03,-5.70157038e-03
0.813203,2.22296554e-03,2.28792225e-02,-9.21069765e-03,1.76878594e-02,9.13519162e-03,-5.71167649e-03
0.814204,2.21654810e-03,2.28613767e-02,-9.25965932e-03,1.77496268e-02,9.35591082e-03,-5.71845834e-03
0.815204,2.20999290e-03,2.28433936e-02,-9.31027813e-03,1.78086781e-02,9.57593446e-03,-5.72246243e-03
0.816204,2.20343606e-03,2.28252176e-02,-9.36286807e-03,1.78647000e-02,9.79520950e-03,-5.72323626e-03
0.817204,2.19690428e-03,2.28068192e-02,-9.41732033e-03,1.79177357e-02,1.00135882e-02,-5.72132033e-03
0.818205,2.19052803e-03,2.27881395e-02,-9.47388671e-03,1.79675108e-02,1.02309935e-02,-5.71635613e-03
0.819205,2.18434102e-03,2.27691465e-02,-9.53242807e-03,1.80141034e-02,1.04472870e-02,-5.70884346e-03
0.820205,2.17846219e-03,2.27497794e-02,-9.59311690e-03,1.80572928e-02,1.06623651e-02,-5.69854715e-03
0.821205,2.17293305e-03,2.27300044e-02,-9.65580778e-03,1.80971702e-02,1.08761056e-02,-5.68587319e-03
0.822206,2.16785040e-03,2.27097649e-02,-9.72055618e-03,1.81336144e-02,1.10883864e-02,-5.67076765e-03
0.823206,2.16326873e-03,2.26890223e-02,-9.78725145e-03,1.81666839e-02,1.12990994e-02,-5.65347097e-03
0.824206,2.15925236e-03,2.26677292e-02,-9.85580852e-03,1.81963849e-02,1.15081108e-02,-5.63414792e-03
0.825206,2.15587188e-03,2.26458420e-02,-9.92617104e-03,1.82227254e-02,1.17153286e-02,-5.61283875e-03
0.826207,2.15315269e-03,2.26233258e-02,-9.99811065e-03,1.82458451e-02,1.19206131e-02,-5.58993198e-03
0.827207,2.15118026e-03,2.26001325e-02,-1.00716270e-02,1.82656998e-02,1.21238883e-02,-5.56527165e-03
0.828207,2.14994157e-03,2.25762416e-02,-1.01463714e-02,1.82825471e-02,1.23250186e-02,-5.53942608e-03
0.829207,2.14952838e-03,2.25516026e-02,-1.02223731e-02,1.82963114e-02,1.25239362e-02,-5.51211072e-03
0.830208,2.14989945e-03,2.25262088e-02,-1.02992203e-02,1.83073237e-02,1.27205269e-02,-5.48395908e-03
0.831208,2.15113525e-03,2.25000117e-02,-1.03769128e-02,1.83155259e-02,1.29147160e-02,-5.45470059e-03
0.832208,2.15318840e-03,2.24730125e-02,-1.04550642e-02,1.83212447e-02,1.31064255e-02,-5.42485288e-03
0.833208,2.15609751e-03,2.24451780e-02,-1.05335631e-02,1.83245262e-02,1.32955774e-02,-5.39435043e-03
0.834209,2.15983737e-03,2.24165055e-02,-1.06121377e-02,1.83256006e-02,1.34821270e-02,-5.36341365e-03
0.835209,2.16438723e-03,2.23869845e-02,-1.06905218e-02,1.83246621e-02,1.36659913e-02,-5.33229839e-03
0.836209,2.16975013e-03,2.23566068e-02,-1.07685807e-02,1.83218250e-02,1.38471616e-02,-5.30088554e-03
0.837209,2.17585321e-03,2.23253834e-02,-1.08459315e-02,1.83174019e-02,1.40255602e-02,-5.26968461e-03
0.838210,2.18270869e-03,2.22933052e-02,-1.09225071e-02,1.83114468e-02,1.42011939e-02,-5.23840613e-03
0.839210,2.19022487e-03,2.22603975e-02,-1.09979356e-02,1.83042873e-02,1.43740219e-02,-5.20753724e-03
0.840210,2.19838554e-03,2.22266592e-02,-1.10720824e-02,1.82960266e-02,1.45440307e-02,-5.17693991e-03
0.841210,2.20712002e-03,2.21921199e-02,-1.11447308e-02,1.82868878e-02,1.47112479e-02,-5.14676079e-03
0.842211,2.21635785e-03,2.21567934e-02,-1.12155920e-02,1.82770976e-02,1.48756214e-02,-5.11722770e-03
0.843211,2.22606024e-03,2.21207084e-02,-1.12846256e-02,1.82667464e-02,1.50372380e-02,-5.08809814e-03
0.844211,2.23611946e-03,2.20838952e-02,-1.13514828e-02,1.82561260e-02,1.51960499e-02,-5.05979235e-03
0.845211,2.24649369e-03,2.20463836e-02,-1.14161397e-02,1.82453060e-02,1.53521401e-02,-5.03203233e-03
0.846212,2.25709151e-03,2.20082094e-02,-1.14783855e-02,1.82344858e-02,1.55055177e-02,-5.00499043e-03
0.847212,2.26782483e-03,2.19694134e-02,-1.15380572e-02,1.82238409e-02,1.56562216e-02,-4.97873482e-03
0.848212,2.27864255e-03,2.19300299e-02,-1.15951548e-02,1.82134160e-02,1.58043303e-02,-4.95301799e-03
0.849212,2.28942655e-03,2.18901074e-02,-1.16494394e-02,1.82034423e-02,1.59498538e-02,-4.92813516e-03
0.850213,2.30012389e-03,2.18496866e-02,-1.17009526e-02,1.81939437e-02,1.60928925e-02,-4.90381157e-03
0.851213,2.31064733e-03,2.18088096e-02,-1.17495978e-02,1.81850290e-02,1.62334801e-02,-4.88006560e-03
0.852213,2.32090133e-03,2.17675317e-02,-1.17953005e-02,1.81768275e-02,1.63716941e-02,-4.85698718e-03
0.853213,2.33083736e-03,2.17258865e-02,-1.18381270e-02,1.81693100e-02,1.65075992e-02,-4.83425164e-03
0.854214,2.34035840e-03,2.16839318e-02,-1.18780234e-02,1.81625917e-02,1.66412723e-02,-4.81200936e-03
0.855214,2.34939457e-03,2.16417091e-02,-1.19150011e-02,1.81566942e-02,1.67727655e-02,-4.79012718e-03
0.856214,2.35790060e-03,2.15992621e-02,-1.19491983e-02,1.81515646e-02,1.69021836e-02,-4.76836669e-03
0.857214,2.36578189e-03,2.15566411e-02,-1.19805568e-02,1.81472907e-02,1.70295631e-02,-4.74686739e-03
0.858215,2.37300087e-03,2.15138852e-02,-1.20092336e-02,1.81437912e-02,1.71549939e-02,-4.72535627e-03
